sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,19021,319021,0.182067871,0.845153809,-0.501831055,0.0266113281,-0.5859375,0.35546875,0.1953125,-2.046875,-8,-4.75,0.08984375,-0.51953125,0.25390625
1,32730,332730,0.181945801,0.84588623,-0.500793457,0.0235595703,-0.5859375,0.35546875,0.1953125,-2.046875,-8,-4.75,-0.17578125,0.623046875,-0.388671875
2,32778,332778,0.181884766,0.846862793,-0.499389648,0.0198364258,-0.19140625,0.8515625,0.625,-2.109375,-7.9921875,-4.7421875,-0.17578125,0.623046875,-0.388671875
3,32810,332810,0.18182373,0.847961426,-0.497680664,0.0155029297,-0.19140625,0.8515625,0.625,-2.109375,-7.9921875,-4.7421875,-0.251953125,0.849609375,-0.494140625
4,32858,332858,0.181945801,0.849121094,-0.495727539,0.0104980469,-0.30078125,0.5,0.44921875,-1.9609375,-7.984375,-4.796875,-0.251953125,0.849609375,-0.494140625
5,32890,332890,0.182189941,0.850341797,-0.493652344,0.00476074219,-0.30078125,0.5,0.44921875,-1.9609375,-7.984375,-4.796875,-0.263671875,1.16601562,-0.591796875
6,32937,332937,-0.182678223,-0.8515625,0.491455078,0.00177001953,-0.3984375,0.22265625,0.3828125,-1.7890625,-7.9765625,-4.8828125,-0.263671875,1.16601562,-0.591796875
7,32970,332970,-0.18347168,-0.852722168,0.489013672,0.00927734375,-0.3984375,0.22265625,0.3828125,-1.7890625,-7.9765625,-4.8828125,-0.232421875,1.53125,-0.66796875
8,34414,334414,-0.190490723,-0.857849121,0.460876465,0.124084473,-0.3984375,0.22265625,0.3828125,-1.7890625,-7.9765625,-4.8828125,-0.232421875,1.53125,-0.66796875
9,44970,344970,-0.191040039,-0.857299805,0.458007812,0.137023926,-0.3984375,0.22265625,0.3828125,-1.7890625,-7.9765625,-4.8828125,0.08203125,2.56054688,-1.18945312
10,49863,349863,-0.191894531,-0.856262207,0.454956055,0.151611328,-0.47265625,-0.3203125,-0.70703125,0.546875,-7.96875,-5.171875,0.08203125,2.56054688,-1.18945312
11,63593,363593,-0.192626953,-0.855102539,0.452087402,0.165344238,-0.47265625,-0.3203125,-0.70703125,0.546875,-7.96875,-5.171875,0.126953125,2.69335938,-1.21679688
12,68060,368060,-0.19329834,-0.85357666,0.449035645,0.179931641,-1.35546875,-0.328125,-0.83984375,1.0078125,-7.9609375,-5.1171875,0.126953125,2.69335938,-1.21679688
13,78130,378130,-0.19354248,-0.852111816,0.446533203,0.192504883,-1.35546875,-0.328125,-0.83984375,1.0078125,-7.9609375,-5.1171875,0.2109375,2.29101562,-1.16992188
14,84682,384682,-0.19317627,-0.850708008,0.444091797,0.204406738,-1.49609375,0.09375,-1.046875,1.453125,-7.9609375,-5.0234375,0.2109375,2.29101562,-1.16992188
