Comment,Center-X(mil),Center-Y(mil),Designator,Layer,Rotation
TP,"3,362,205","3,881,890",T27,TopLayer,90
TP,"3,291,339","3,700,787",T28,TopLayer,90
TP,"3,204,724","3,795,276",T29,BottomLayer,90
Test Point TH,"3,070,866","3,385,827",TP1,BottomLayer,90
TP4054,"2,783,465","2,905,512",U1,TopLayer,90
TPS63020DSJR,"3,401,575","3,484,252",U2,TopLayer,0
TPS2117DRLR,"3,452,756","2,893,701",U3,BottomLayer,225
W25Q256JVEIQ,"3,531,496","3,724,409",U4,BottomLayer,180
THVD1426DRLR,"2,720,472","3,374,016",U5,TopLayer,180
PT2041AD6,"2,960,630","3,456,693",U6,BottomLayer,180
TLV8802DGKR,"3,070,866","2,944,882",U7,TopLayer,0
SMD ERM Motor,"2,523,622","2,829,724",U8,TopLayer,270
STM32WB55CGU6,"2,964,566","3,740,159",U9,TopLayer,180
MLPF-WB55-01E3,"2,884,911","3,959,717",U10,TopLayer,45
REF3025AIDBZR,"3,000,000","3,047,244",U11,BottomLayer,180
BNO085,"3,507,874","3,940,945",U13,TopLayer,180
ICM-45686,"3,291,339","3,964,567",U14,TopLayer,180
32.768KHz XTAL,"3,220,472","3,578,741",Y1,TopLayer,45
32MHz 2016-4P,"2,720,471","3,885,828",Y2,TopLayer,270
32.768KHz XTAL,"3,539,370","3,783,465",Y5,TopLayer,180
