sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,18322,318322,0.700500488,-0.132629395,-0.641845703,0.282470703,0.44140625,-0.046875,-0.140625,-8.2265625,5.484375,0.046875,-0.228515625,0.33203125,-0.00390625
1,32166,332166,0.701660156,-0.131591797,-0.639770508,0.284729004,0.44140625,-0.046875,-0.140625,-8.2265625,5.484375,0.046875,-0.333984375,0.578125,0.24609375
2,32214,332214,0.702880859,-0.130554199,-0.637512207,0.287109375,0.203125,0.3515625,-0.3828125,-8.1328125,5.609375,-0.1953125,-0.333984375,0.578125,0.24609375
3,32246,332246,0.704284668,-0.129577637,-0.63494873,0.289733887,0.203125,0.3515625,-0.3828125,-8.1328125,5.609375,-0.1953125,-0.357421875,0.6875,0.337890625
4,32294,332294,0.705749512,-0.128662109,-0.632202148,0.292724609,0.4765625,0.375,-0.38671875,-8.1015625,5.6640625,-0.265625,-0.357421875,0.6875,0.337890625
5,32326,332326,0.707275391,-0.127685547,-0.629211426,0.295837402,0.4765625,0.375,-0.38671875,-8.1015625,5.6640625,-0.265625,-0.390625,0.763671875,0.3984375
6,32373,332373,0.708862305,-0.126953125,-0.626220703,0.29876709,0.30078125,0.3125,-0.34765625,-8.0390625,5.7265625,-0.34375,-0.390625,0.763671875,0.3984375
7,32405,332405,0.710571289,-0.126342773,-0.622924805,0.301696777,0.30078125,0.3125,-0.34765625,-8.0390625,5.7265625,-0.34375,-0.27734375,0.751953125,0.431640625
8,44022,344022,0.725646973,-0.130737305,-0.586547852,0.335083008,0.30078125,0.3125,-0.34765625,-8.0390625,5.7265625,-0.34375,-0.00390625,0.400390625,0.55859375
9,49463,349463,0.726379395,-0.131286621,-0.58380127,0.338195801,0.30078125,0.3125,-0.34765625,-8.0390625,5.7265625,-0.34375,-0.353515625,0.568359375,0.607421875
10,53086,353086,0.726989746,-0.131408691,-0.580871582,0.34173584,0.359375,0.23046875,0.0546875,-7.484375,6.3828125,-0.8984375,-0.353515625,0.568359375,0.607421875
11,66635,366635,0.727722168,-0.131591797,-0.577453613,0.34588623,0.359375,0.23046875,0.0546875,-7.484375,6.3828125,-0.8984375,-0.39453125,0.66015625,0.7109375
12,73910,373910,0.72857666,-0.132202148,-0.574035645,0.34954834,0.5234375,-0.03515625,-0.8203125,-7.3828125,6.4921875,-0.9453125,-0.39453125,0.66015625,0.7109375
13,86234,386234,0.729309082,-0.133544922,-0.570800781,0.352722168,0.5234375,-0.03515625,-0.8203125,-7.3828125,6.4921875,-0.9453125,-0.076171875,0.4765625,0.77734375
14,91479,391479,0.730041504,-0.135742188,-0.567932129,0.355163574,-0.046875,-0.2265625,-0.87890625,-7.2734375,6.609375,-1,-0.076171875,0.4765625,0.77734375
15,106054,406054,0.730712891,-0.138427734,-0.565429688,0.356689453,-0.046875,-0.2265625,-0.87890625,-7.2734375,6.609375,-1,0.287109375,0.2421875,0.6953125
16,114573,414573,0.731506348,-0.141479492,-0.563171387,0.35736084,-0.61328125,0.0546875,-0.08984375,-7.1640625,6.7109375,-1.0625,0.287109375,0.2421875,0.6953125
17,126503,426503,0.732543945,-0.144287109,-0.560913086,0.357666016,-0.61328125,0.0546875,-0.08984375,-7.1640625,6.7109375,-1.0625,0.37109375,0.298828125,0.517578125
18,134895,434895,0.733764648,-0.146240234,-0.55847168,0.358215332,-0.203125,0.58984375,1.109375,-7.078125,6.7890625,-1.1484375,0.37109375,0.298828125,0.517578125
19,146208,446208,0.735046387,-0.147338867,-0.555786133,0.359313965,-0.203125,0.58984375,1.109375,-7.078125,6.7890625,-1.1484375,0.0703125,0.537109375,0.412109375
20,153606,453606,0.736328125,-0.147766113,-0.552978516,0.360900879,-0.203125,0.2578125,0.6640625,-7,6.8515625,-1.2421875,0.0703125,0.537109375,0.412109375
21,166291,466291,0.737426758,-0.147888184,-0.550170898,0.362792969,-0.203125,0.2578125,0.6640625,-7,6.8515625,-1.2421875,-0.1171875,0.56640625,0.38671875
22,171531,471531,0.73840332,-0.148071289,-0.547668457,0.364501953,-0.84765625,-0.68359375,-0.22265625,-6.9296875,6.9140625,-1.3125,-0.1171875,0.56640625,0.38671875
23,184671,484671,0.739257812,-0.14855957,-0.545532227,0.365844727,-0.84765625,-0.68359375,-0.22265625,-6.9296875,6.9140625,-1.3125,0.009765625,0.359375,0.322265625
24,196239,496239,0.739990234,-0.149230957,-0.543701172,0.366821289,-0.94921875,-1.0390625,0.0234375,-6.8671875,6.9609375,-1.3671875,0.009765625,0.359375,0.322265625
25,205851,505851,0.740539551,-0.150146484,-0.542053223,0.367736816,-0.94921875,-1.0390625,0.0234375,-6.8671875,6.9609375,-1.3671875,0.048828125,0.25,0.357421875
26,214651,514651,0.740905762,-0.151123047,-0.540466309,0.36895752,-0.5078125,-0.359375,0.37890625,-6.8125,7.0078125,-1.4140625,0.048828125,0.25,0.357421875
27,225801,525801,0.741149902,-0.151855469,-0.538818359,0.370605469,-0.5078125,-0.359375,0.37890625,-6.8125,7.0078125,-1.4140625,-0.14453125,0.296875,0.3984375
28,232562,532562,0.741455078,-0.15234375,-0.536865234,0.372497559,-0.0625,0.125,0.68359375,-6.7578125,7.0625,-1.453125,-0.14453125,0.296875,0.3984375
