sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-3982,3881,879,581,-2490,2192,-0.486083984,0.473754883,0.107299805,35.4614258,-151.977539,133.789062
1,5008,305008,1,-3763,4006,926,615,-2447,2178,-0.459350586,0.489013672,0.113037109,37.5366211,-149.353027,132.93457
2,10000,310000,2,-3633,4103,1036,641,-2420,2164,-0.443481445,0.500854492,0.126464844,39.1235352,-147.705078,132.080078
3,15008,315008,3,-3621,4302,1356,647,-2401,2151,-0.442016602,0.525146484,0.165527344,39.4897461,-146.54541,131.286621
4,20000,320000,4,-3692,4761,1903,619,-2375,2134,-0.450683594,0.581176758,0.232299805,37.7807617,-144.958496,130.249023
5,25008,325008,5,-3716,5370,2500,580,-2352,2112,-0.453613281,0.655517578,0.305175781,35.4003906,-143.554688,128.90625
6,30000,330000,6,-3645,5861,3049,539,-2358,2091,-0.444946289,0.715454102,0.372192383,32.8979492,-143.920898,127.624512
7,35008,335008,7,-3560,6163,3521,472,-2393,2080,-0.434570312,0.752319336,0.42980957,28.8085938,-146.057129,126.953125
8,40000,340000,8,-3544,6476,3942,360,-2428,2069,-0.432617188,0.790527344,0.481201172,21.9726562,-148.193359,126.281738
9,45008,345008,9,-3506,6858,4424,225,-2450,2050,-0.427978516,0.837158203,0.540039062,13.7329102,-149.536133,125.12207
10,50000,350000,10,-3395,7145,4978,105,-2462,2040,-0.414428711,0.872192383,0.607666016,6.40869141,-150.268555,124.511719
11,55008,355008,11,-3275,7184,5358,38,-2475,2048,-0.399780273,0.876953125,0.654052734,2.31933594,-151.062012,125
12,60000,360000,12,-3179,6937,5370,29,-2501,2069,-0.388061523,0.846801758,0.655517578,1.77001953,-152.648926,126.281738
13,65008,365008,13,-3095,6499,4999,43,-2533,2099,-0.377807617,0.793334961,0.610229492,2.62451172,-154.602051,128.112793
14,70000,370000,14,-2993,6082,4428,68,-2553,2132,-0.365356445,0.742431641,0.540527344,4.15039062,-155.822754,130.126953
15,75008,375008,15,-2840,5847,3955,124,-2550,2164,-0.346679688,0.713745117,0.482788086,7.56835938,-155.639648,132.080078
16,80000,380000,16,-2670,5782,3661,214,-2521,2187,-0.325927734,0.705810547,0.446899414,13.0615234,-153.869629,133.483887
17,85008,385008,17,-2448,5766,3425,325,-2479,2200,-0.298828125,0.703857422,0.41809082,19.8364258,-151.306152,134.277344
18,90000,390000,18,-2185,5666,3145,436,-2441,2216,-0.266723633,0.691650391,0.383911133,26.6113281,-148.986816,135.253906
19,95008,395008,19,-1972,5482,2822,544,-2406,2228,-0.240722656,0.669189453,0.344482422,33.203125,-146.850586,135.986328
20,100000,400000,20,-1826,5358,2616,647,-2362,2221,-0.222900391,0.654052734,0.319335938,39.4897461,-144.165039,135.559082
21,105008,405008,21,-1766,5408,2666,726,-2300,2198,-0.215576172,0.66015625,0.325439453,44.3115234,-140.380859,134.155273
22,110000,410000,22,-1777,5800,3040,764,-2225,2150,-0.216918945,0.708007812,0.37109375,46.6308594,-135.803223,131.225586
23,115008,415008,23,-1739,6501,3743,735,-2155,2084,-0.212280273,0.793579102,0.45690918,44.8608398,-131.530762,127.197266
24,120000,420000,24,-1707,7261,4458,617,-2120,2038,-0.208374023,0.886352539,0.544189453,37.6586914,-129.394531,124.389648
25,125008,425008,25,-1726,7895,4923,442,-2141,2016,-0.210693359,0.963745117,0.600952148,26.9775391,-130.67627,123.046875
26,130000,430000,26,-1728,8220,5204,242,-2202,2011,-0.2109375,1.00341797,0.635253906,14.7705078,-134.399414,122.741699
27,135008,435008,27,-1743,8201,5321,22,-2279,2025,-0.212768555,1.00109863,0.649536133,1.34277344,-139.099121,123.596191
28,140000,440000,28,-1747,8002,5330,-196,-2354,2048,-0.213256836,0.976806641,0.650634766,-11.9628906,-143.676758,125
29,145008,445008,29,-1688,7730,5326,-370,-2419,2079,-0.206054688,0.943603516,0.650146484,-22.5830078,-147.644043,126.89209
30,150000,450000,30,-1561,7408,5321,-461,-2475,2115,-0.190551758,0.904296875,0.649536133,-28.137207,-151.062012,129.089355
31,155008,455008,31,-1364,7066,5302,-456,-2511,2145,-0.166503906,0.862548828,0.647216797,-27.8320312,-153.259277,130.92041
32,160000,460000,32,-1119,6802,5223,-370,-2519,2165,-0.13659668,0.830322266,0.637573242,-22.5830078,-153.747559,132.141113
33,165008,465008,33,-916,6728,5095,-241,-2511,2173,-0.111816406,0.821289062,0.621948242,-14.7094727,-153.259277,132.629395
