sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,31216,331216,0.687927246,0.133300781,-0.617858887,0.356689453,1.5859375,-1.67578125,-2.48046875,-9.328125,3.2421875,0.34375,0.5,-0.740234375,0.77734375
1,31264,331264,0.686828613,0.127563477,-0.619506836,0.358093262,1.6015625,-3.1171875,-4.35546875,-9.3046875,3.2265625,0.2265625,0.5,-0.740234375,0.77734375
2,31296,331296,0.685119629,0.120910645,-0.621582031,0.360107422,1.6015625,-3.1171875,-4.35546875,-9.3046875,3.2265625,0.2265625,0.458984375,-1.12695312,1.02539062
3,31344,331344,0.682617188,0.113525391,-0.624145508,0.362731934,1.40625,-2.859375,-4.09375,-9.2265625,3.390625,0.3515625,0.458984375,-1.12695312,1.02539062
4,31376,331376,0.67956543,0.105651855,-0.626953125,0.365966797,1.40625,-2.859375,-4.09375,-9.2265625,3.390625,0.3515625,0.38671875,-1.515625,1.27734375
5,31424,331424,0.676025391,0.0971069336,-0.630065918,0.369567871,1.390625,-2.52734375,-3.6171875,-9.1328125,3.59375,0.5625,0.38671875,-1.515625,1.27734375
6,31456,331456,0.671875,0.0875244141,-0.633483887,0.373596191,1.390625,-2.52734375,-3.6171875,-9.1328125,3.59375,0.5625,0.431640625,-1.8359375,1.5234375
7,33687,333687,0.582763672,-0.078918457,-0.679443359,0.438720703,1.390625,-2.52734375,-3.6171875,-9,3.8359375,0.8203125,0.431640625,-1.8359375,1.5234375
8,51127,351127,0.57434082,-0.0935668945,-0.681640625,0.443481445,1.390625,-2.52734375,-3.6171875,-9,3.8359375,0.8203125,0.67578125,-2.5703125,2.27539062
9,51175,351175,0.566101074,-0.107666016,-0.683532715,0.447998047,2.6015625,0.21484375,-0.32421875,-6.859375,6.1796875,3.09375,0.67578125,-2.5703125,2.27539062
10,61512,361512,0.557189941,-0.121826172,-0.685424805,0.452697754,2.6015625,0.21484375,-0.32421875,-6.859375,6.1796875,3.09375,0.486328125,-2.54882812,2.19726562
11,66979,366979,0.547607422,-0.135253906,-0.68737793,0.457580566,2.265625,0.8046875,0.4140625,-6.40625,6.5078125,3.3515625,0.486328125,-2.54882812,2.19726562
12,80792,380792,0.537597656,-0.147277832,-0.68939209,0.46270752,2.265625,0.8046875,0.4140625,-6.40625,6.5078125,3.3515625,0.017578125,-2.64453125,2.1640625
13,86747,386747,0.526367188,-0.159790039,-0.691467285,0.468322754,2.25,1.87109375,2.7421875,-5.9296875,6.78125,3.625,0.017578125,-2.64453125,2.1640625
14,101096,401096,0.515380859,-0.172058105,-0.69317627,0.473632812,2.25,1.87109375,2.7421875,-5.9296875,6.78125,3.625,0.095703125,-2.7265625,2.28320312
15,107140,407140,0.504455566,-0.185058594,-0.694335938,0.47869873,2.1171875,0.05859375,1,-5.4140625,7.0234375,3.9140625,0.095703125,-2.7265625,2.28320312
16,120384,420384,0.49420166,-0.198730469,-0.694824219,0.483215332,2.1171875,0.05859375,1,-5.4140625,7.0234375,3.9140625,0.560546875,-2.57421875,2.34960938
17,128989,428989,0.485168457,-0.212097168,-0.694702148,0.486877441,2.79296875,-0.6953125,-0.94140625,-4.8671875,7.28125,4.1328125,0.560546875,-2.57421875,2.34960938
18,141732,441732,0.476074219,-0.226379395,-0.694030762,0.490356445,2.79296875,-0.6953125,-0.94140625,-4.8671875,7.28125,4.1328125,0.775390625,-2.31054688,2.20898438
19,146976,446976,0.466918945,-0.239746094,-0.693359375,0.493774414,2.36328125,-0.07421875,-0.2109375,-4.3203125,7.5390625,4.2421875,0.775390625,-2.31054688,2.20898438
20,160808,460808,0.45690918,-0.251220703,-0.69317627,0.497619629,2.36328125,-0.07421875,-0.2109375,-4.3203125,7.5390625,4.2421875,0.015625,-2.42382812,2.1328125
21,166757,466757,0.444885254,-0.261779785,-0.693664551,0.502380371,1.87109375,2.0234375,1.7890625,-3.7890625,7.7421875,4.3515625,0.015625,-2.42382812,2.1328125
22,182146,482146,0.431640625,-0.27166748,-0.694396973,0.507568359,1.87109375,2.0234375,1.7890625,-3.7890625,7.7421875,4.3515625,-0.5234375,-2.67773438,2.26367188
23,188920,488920,0.41784668,-0.282165527,-0.694885254,0.512756348,1.66796875,0.71875,1.60546875,-3.203125,7.859375,4.5703125,-0.5234375,-2.67773438,2.26367188
24,200774,500774,0.405395508,-0.29284668,-0.694702148,0.517028809,1.66796875,0.71875,1.60546875,-3.203125,7.859375,4.5703125,0.00390625,-2.63085938,2.27148438
25,209388,509388,0.393981934,-0.304260254,-0.693786621,0.520507812,2.28515625,0.35546875,0.76171875,-2.59375,7.953125,4.765625,0.00390625,-2.63085938,2.27148438
26,222128,522128,0.383422852,-0.316589355,-0.692016602,0.52331543,2.28515625,0.35546875,0.76171875,-2.59375,7.953125,4.765625,0.623046875,-2.33789062,2.13867188
27,229269,529269,0.373718262,-0.329284668,-0.68963623,0.525695801,2.6953125,1.1015625,0.59765625,-2.0078125,8.0859375,4.8125,0.623046875,-2.33789062,2.13867188
28,240497,540497,0.36505127,-0.341003418,-0.687011719,0.527709961,2.6953125,1.1015625,0.59765625,-2.0078125,8.0859375,4.8125,0.724609375,-2.1015625,1.99023438
29,248869,548869,0.356384277,-0.352416992,-0.684387207,0.529541016,2.3671875,2.51171875,1.94140625,-1.453125,8.2109375,4.7734375,0.724609375,-2.1015625,1.99023438
