sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,17885,317885,0.201782227,0.861816406,-0.441589355,0.14666748,0.3359375,0.2265625,0.29296875,-3.3671875,-6.828125,-5.75,0.00390625,-1.23632812,0.376953125
1,30514,330514,0.201171875,0.861694336,-0.441589355,0.14831543,0.3359375,0.2265625,0.29296875,-3.3671875,-6.828125,-5.75,-0.068359375,-0.271484375,0.015625
2,30562,330562,0.200561523,0.861694336,-0.44152832,0.149230957,0.796875,0.12109375,0.32421875,-4.1328125,-6.6875,-5.3984375,-0.068359375,-0.271484375,0.015625
3,30594,330594,0.199890137,0.861877441,-0.441345215,0.149658203,0.796875,0.12109375,0.32421875,-4.1328125,-6.6875,-5.3984375,-0.087890625,-0.07421875,-0.109375
4,30642,330642,0.199157715,0.862182617,-0.441101074,0.149658203,0.1171875,0.15234375,0.28515625,-4.140625,-6.6796875,-5.3984375,-0.087890625,-0.07421875,-0.109375
5,30674,330674,0.198364258,0.862609863,-0.440734863,0.149169922,0.1171875,0.15234375,0.28515625,-4.140625,-6.6796875,-5.3984375,-0.107421875,0.076171875,-0.1953125
6,30721,330721,0.197753906,0.863098145,-0.440368652,0.14831543,-0.0625,0.31640625,0.29296875,-4.1171875,-6.6875,-5.40625,-0.107421875,0.076171875,-0.1953125
7,30753,330753,0.19732666,0.863647461,-0.440002441,0.146789551,-0.0625,0.31640625,0.29296875,-4.1171875,-6.6875,-5.40625,-0.05078125,0.310546875,-0.20703125
8,43420,343420,0.208984375,0.878295898,-0.424926758,0.0656738281,-0.0625,0.31640625,0.29296875,-4.1171875,-6.6875,-5.40625,0.021484375,1.984375,-0.62890625
9,52492,352492,0.210571289,0.879638672,-0.422973633,0.0542602539,-0.0625,0.31640625,0.29296875,-4.1171875,-6.6875,-5.40625,0.044921875,2.20898438,-0.72265625
10,55501,355501,0.211975098,0.880859375,-0.421081543,0.0432128906,-0.57421875,0.1875,0.13671875,-2.609375,-6.8671875,-6.0546875,0.044921875,2.20898438,-0.72265625
11,70784,370784,0.213378906,0.882019043,-0.418945312,0.0307617188,-0.57421875,0.1875,0.13671875,-2.609375,-6.8671875,-6.0546875,0.076171875,2.328125,-0.83203125
12,77105,377105,0.214416504,0.883117676,-0.416870117,0.0185546875,-0.87890625,0.1953125,-0.10546875,-2.2265625,-6.9140625,-6.15625,0.076171875,2.328125,-0.83203125
13,91458,391458,0.215209961,0.884094238,-0.414733887,0.00671386719,-0.87890625,0.1953125,-0.10546875,-2.2265625,-6.9140625,-6.15625,0.033203125,2.38671875,-0.943359375
14,100048,400048,-0.216003418,-0.885070801,0.412231445,0.00592041016,-0.47265625,0.16015625,0.01953125,-1.828125,-6.953125,-6.2421875,0.033203125,2.38671875,-0.943359375
15,110284,410284,-0.21673584,-0.886047363,0.409301758,0.0192260742,-0.47265625,0.16015625,0.01953125,-1.828125,-6.953125,-6.2421875,-0.03515625,2.484375,-0.994140625
16,118553,418553,-0.217468262,-0.886901855,0.40625,0.0324707031,-0.421875,0.11328125,-0.1328125,-1.3828125,-6.984375,-6.3203125,-0.03515625,2.484375,-0.994140625
17,129885,429885,-0.218261719,-0.887573242,0.403137207,0.045715332,-0.421875,0.11328125,-0.1328125,-1.3828125,-6.984375,-6.3203125,-0.0234375,2.66601562,-1.0234375
18,137902,437902,-0.219055176,-0.888000488,0.399780273,0.0599975586,-0.5078125,0.015625,-0.4921875,-0.9140625,-7,-6.3828125,-0.0234375,2.66601562,-1.0234375
19,149786,449786,-0.219726562,-0.888305664,0.396484375,0.07421875,-0.5078125,0.015625,-0.4921875,-0.9140625,-7,-6.3828125,0.01171875,2.69726562,-1.08398438
20,155965,455965,-0.220092773,-0.888366699,0.393249512,0.0880737305,-0.8515625,0.03125,-0.53125,-0.4140625,-7.015625,-6.421875,0.01171875,2.69726562,-1.08398438
21,170399,470399,-0.220092773,-0.888366699,0.390075684,0.101196289,-0.8515625,0.03125,-0.53125,-0.4140625,-7.015625,-6.421875,-0.001953125,2.48242188,-1.11914062
22,179863,479863,-0.219909668,-0.888366699,0.386474609,0.114379883,-0.36328125,0.18359375,0.12890625,0.0546875,-7.015625,-6.4296875,-0.001953125,2.48242188,-1.11914062
23,188750,488750,-0.219604492,-0.888366699,0.3828125,0.12677002,-0.36328125,0.18359375,0.12890625,0.0546875,-7.015625,-6.4296875,-0.123046875,2.29296875,-1.06054688
