sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,27178,327178,0.167724609,0.886291504,-0.374389648,0.21496582,0.47265625,0.28515625,0.08984375,-5.8515625,-5.28125,-5.2421875,-0.130859375,1.37695312,-0.85546875
1,27226,327226,0.166381836,0.888671875,-0.373535156,0.207336426,-0.15625,0.109375,-0.02734375,-4.7890625,-5.6015625,-5.9296875,-0.130859375,1.37695312,-0.85546875
2,27259,327259,0.165039062,0.891052246,-0.372741699,0.199523926,-0.15625,0.109375,-0.02734375,-4.7890625,-5.6015625,-5.9296875,-0.103515625,1.3984375,-0.865234375
3,27306,327306,0.163696289,0.893310547,-0.372070312,0.191711426,-0.34375,-0.10546875,-0.30078125,-4.5234375,-5.65625,-6.078125,-0.103515625,1.3984375,-0.865234375
4,27338,327338,0.162353516,0.895446777,-0.371520996,0.183898926,-0.34375,-0.10546875,-0.30078125,-4.5234375,-5.65625,-6.078125,-0.05078125,1.40429688,-0.861328125
5,27386,327386,0.161071777,0.897521973,-0.370849609,0.176147461,-0.1875,0.38671875,-0.44140625,-4.2578125,-5.7265625,-6.203125,-0.05078125,1.40429688,-0.861328125
6,27418,327418,0.159851074,0.899597168,-0.369934082,0.168151855,-0.1875,0.38671875,-0.44140625,-4.2578125,-5.7265625,-6.203125,-0.12890625,1.41015625,-0.81640625
7,37584,337584,0.137817383,0.924743652,-0.350585938,0.0548095703,-0.1875,0.38671875,-0.44140625,-3.9765625,-5.7890625,-6.3359375,-0.064453125,0.56640625,-0.390625
8,51564,351564,0.137023926,0.925231934,-0.350036621,0.0513305664,0.33203125,-0.03515625,-0.1796875,-1.8671875,-5.9921875,-7.078125,-0.064453125,0.56640625,-0.390625
9,58415,358415,0.136535645,0.925598145,-0.34967041,0.0478515625,0.33203125,-0.03515625,-0.1796875,-1.8671875,-5.9921875,-7.078125,0.033203125,0.640625,-0.33203125
10,62536,362536,0.136169434,0.92590332,-0.34954834,0.0443115234,0.24609375,-0.56640625,0.03515625,-1.7421875,-6,-7.1015625,0.033203125,0.640625,-0.33203125
11,72977,372977,0.135864258,0.926086426,-0.349609375,0.0408935547,0.24609375,-0.56640625,0.03515625,-1.7421875,-6,-7.1015625,0.095703125,0.591796875,-0.298828125
12,79685,379685,0.135437012,0.926208496,-0.349731445,0.0377807617,0.04296875,-0.39453125,0.31640625,-1.6171875,-6.015625,-7.1171875,0.095703125,0.591796875,-0.298828125
13,95892,395892,0.134887695,0.926391602,-0.34979248,0.0350952148,0.04296875,-0.39453125,0.31640625,-1.6171875,-6.015625,-7.1171875,0.046875,0.419921875,-0.2890625
14,99439,399439,0.134277344,0.926574707,-0.349731445,0.0328369141,-0.10546875,-0.1796875,0.08984375,-1.5078125,-6.0390625,-7.1171875,0.046875,0.419921875,-0.2890625
15,114545,414545,0.133422852,0.926879883,-0.34954834,0.0305786133,-0.10546875,-0.1796875,0.08984375,-1.5078125,-6.0390625,-7.1171875,-0.017578125,0.318359375,-0.322265625
16,122593,422593,0.132385254,0.927185059,-0.349304199,0.028503418,-0.0078125,0.1328125,0.05859375,-1.4140625,-6.046875,-7.125,-0.017578125,0.318359375,-0.322265625
17,134852,434852,0.131286621,0.927490234,-0.348937988,0.0264892578,-0.0078125,0.1328125,0.05859375,-1.4140625,-6.046875,-7.125,-0.05078125,0.33984375,-0.361328125
18,138962,438962,0.130371094,0.927856445,-0.348510742,0.0242919922,0.25390625,0.37109375,0.2265625,-1.328125,-6.0546875,-7.140625,-0.05078125,0.33984375,-0.361328125
19,154064,454064,0.129516602,0.928222656,-0.348022461,0.0219726562,0.25390625,0.37109375,0.2265625,-1.328125,-6.0546875,-7.140625,-0.033203125,0.361328125,-0.291015625
20,159456,459456,0.128845215,0.928466797,-0.347839355,0.0198974609,0.08203125,-0.2421875,0.203125,-1.234375,-6.0546875,-7.15625,-0.033203125,0.361328125,-0.291015625
21,176192,476192,0.128356934,0.928527832,-0.347839355,0.0180664062,0.08203125,-0.2421875,0.203125,-1.234375,-6.0546875,-7.15625,0.056640625,0.3046875,-0.212890625
