sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-5051,4874,5424,-15,-802,641,-0.616577148,0.594970703,0.662109375,-0.915527344,-48.9501953,39.1235352
1,5008,305008,1,-5001,4924,5478,-40,-789,586,-0.610473633,0.601074219,0.668701172,-2.44140625,-48.1567383,35.7666016
2,10000,310000,2,-4901,4942,5498,-58,-778,543,-0.598266602,0.603271484,0.671142578,-3.54003906,-47.4853516,33.1420898
3,15008,315008,3,-4833,4950,5546,-63,-762,505,-0.58996582,0.604248047,0.677001953,-3.84521484,-46.5087891,30.8227539
4,20000,320000,4,-4824,4940,5611,-60,-735,469,-0.588867188,0.603027344,0.684936523,-3.66210938,-44.8608398,28.6254883
5,25008,325008,5,-4823,4907,5605,-51,-710,444,-0.588745117,0.598999023,0.684204102,-3.11279297,-43.3349609,27.0996094
6,30000,330000,6,-4773,4896,5557,-28,-691,429,-0.582641602,0.59765625,0.678344727,-1.70898438,-42.175293,26.184082
7,35008,335008,7,-4711,4893,5541,7,-663,417,-0.575073242,0.597290039,0.676391602,0.427246094,-40.4663086,25.4516602
8,40000,340000,8,-4655,4879,5568,44,-631,407,-0.568237305,0.595581055,0.6796875,2.68554688,-38.5131836,24.8413086
9,45008,345008,9,-4576,4871,5597,78,-608,406,-0.55859375,0.594604492,0.683227539,4.76074219,-37.109375,24.7802734
10,50000,350000,10,-4507,4932,5672,109,-586,408,-0.550170898,0.602050781,0.692382812,6.65283203,-35.7666016,24.9023438
11,55008,355008,11,-4521,5069,5785,136,-559,401,-0.551879883,0.618774414,0.706176758,8.30078125,-34.1186523,24.4750977
12,60000,360000,12,-4557,5200,5850,154,-541,390,-0.556274414,0.634765625,0.714111328,9.39941406,-33.0200195,23.8037109
13,65008,365008,13,-4584,5268,5887,161,-532,381,-0.559570312,0.643066406,0.71862793,9.82666016,-32.4707031,23.2543945
14,70000,370000,14,-4599,5253,5878,160,-527,380,-0.561401367,0.641235352,0.717529297,9.765625,-32.1655273,23.1933594
15,75008,375008,15,-4585,5151,5802,158,-523,387,-0.559692383,0.62878418,0.708251953,9.64355469,-31.9213867,23.6206055
16,80000,380000,16,-4553,5012,5697,164,-526,409,-0.555786133,0.611816406,0.69543457,10.0097656,-32.1044922,24.9633789
17,85008,385008,17,-4660,4991,5629,176,-517,426,-0.568847656,0.60925293,0.687133789,10.7421875,-31.5551758,26.0009766
18,90000,390000,18,-4711,4976,5562,201,-491,426,-0.575073242,0.607421875,0.678955078,12.2680664,-29.9682617,26.0009766
19,95008,395008,19,-4605,4918,5509,232,-478,441,-0.562133789,0.600341797,0.672485352,14.1601562,-29.1748047,26.9165039
20,100000,400000,20,-4504,4927,5560,256,-471,457,-0.549804688,0.60144043,0.678710938,15.625,-28.7475586,27.8930664
21,105008,405008,21,-4484,5058,5739,266,-451,460,-0.547363281,0.617431641,0.700561523,16.2353516,-27.5268555,28.0761719
22,110000,410000,22,-4563,5495,6270,238,-407,433,-0.557006836,0.670776367,0.765380859,14.5263672,-24.8413086,26.4282227
23,115008,415008,23,-4805,6728,7702,134,-269,308,-0.586547852,0.821289062,0.940185547,8.17871094,-16.418457,18.7988281
24,120000,420000,24,-5310,8805,9504,-73,-42,16,-0.648193359,1.0748291,1.16015625,-4.45556641,-2.56347656,0.9765625
25,125008,425008,25,-5922,10261,10015,-319,71,-338,-0.722900391,1.25256348,1.22253418,-19.4702148,4.33349609,-20.6298828
26,130000,430000,26,-6301,9766,8901,-545,-76,-494,-0.769165039,1.19213867,1.08654785,-33.2641602,-4.63867188,-30.1513672
27,135008,435008,27,-6033,7826,7494,-837,-367,-397,-0.736450195,0.955322266,0.914794922,-51.0864258,-22.3999023,-24.230957
28,140000,440000,28,-5068,5404,6370,-1157,-568,-137,-0.618652344,0.659667969,0.777587891,-70.6176758,-34.6679688,-8.36181641
