sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-1467,-5189,-6274,-77,514,-395,-0.179077148,-0.633422852,-0.765869141,-4.69970703,31.3720703,-24.1088867
1,5008,305008,1,-1404,-5259,-6276,-72,524,-381,-0.171386719,-0.641967773,-0.766113281,-4.39453125,31.9824219,-23.2543945
2,10000,310000,2,-1354,-5361,-6304,-65,538,-362,-0.165283203,-0.654418945,-0.76953125,-3.96728516,32.8369141,-22.0947266
3,15008,315008,3,-1345,-5480,-6313,-50,551,-345,-0.16418457,-0.668945312,-0.770629883,-3.05175781,33.6303711,-21.0571289
4,20000,320000,4,-1354,-5585,-6267,-25,570,-331,-0.165283203,-0.681762695,-0.765014648,-1.52587891,34.7900391,-20.2026367
5,25008,325008,5,-1377,-5641,-6177,7,592,-317,-0.16809082,-0.688598633,-0.75402832,0.427246094,36.1328125,-19.3481445
6,30000,330000,6,-1412,-5645,-6041,38,608,-306,-0.172363281,-0.689086914,-0.737426758,2.31933594,37.109375,-18.6767578
7,35008,335008,7,-1437,-5611,-5902,57,611,-297,-0.175415039,-0.684936523,-0.720458984,3.47900391,37.2924805,-18.1274414
8,40000,340000,8,-1450,-5575,-5833,65,595,-288,-0.177001953,-0.680541992,-0.712036133,3.96728516,36.315918,-17.578125
9,45008,345008,9,-1458,-5550,-5849,75,573,-283,-0.177978516,-0.677490234,-0.713989258,4.57763672,34.9731445,-17.2729492
10,50000,350000,10,-1475,-5517,-5923,88,542,-279,-0.180053711,-0.673461914,-0.723022461,5.37109375,33.0810547,-17.0288086
11,55008,355008,11,-1496,-5474,-5991,86,498,-275,-0.182617188,-0.668212891,-0.731323242,5.24902344,30.3955078,-16.784668
12,60000,360000,12,-1497,-5440,-6015,70,454,-273,-0.182739258,-0.6640625,-0.73425293,4.27246094,27.7099609,-16.6625977
13,65008,365008,13,-1471,-5412,-6003,51,419,-271,-0.17956543,-0.660644531,-0.732788086,3.11279297,25.5737305,-16.5405273
14,70000,370000,14,-1445,-5380,-5973,36,393,-270,-0.176391602,-0.656738281,-0.729125977,2.19726562,23.9868164,-16.4794922
15,75008,375008,15,-1425,-5342,-5945,23,371,-274,-0.173950195,-0.652099609,-0.725708008,1.40380859,22.644043,-16.7236328
16,80000,380000,16,-1401,-5293,-5944,10,350,-283,-0.171020508,-0.646118164,-0.725585938,0.610351562,21.3623047,-17.2729492
17,85008,385008,17,-1372,-5226,-5997,-8,319,-293,-0.167480469,-0.637939453,-0.732055664,-0.48828125,19.4702148,-17.8833008
18,90000,390000,18,-1318,-5152,-6085,-19,292,-306,-0.160888672,-0.62890625,-0.742797852,-1.15966797,17.8222656,-18.6767578
19,95008,395008,19,-1249,-5059,-6146,-16,287,-320,-0.15246582,-0.617553711,-0.750244141,-0.9765625,17.5170898,-19.53125
20,100000,400000,20,-1159,-4970,-6121,-17,293,-332,-0.141479492,-0.606689453,-0.747192383,-1.03759766,17.8833008,-20.2636719
21,105008,405008,21,-1066,-4930,-6016,-33,305,-338,-0.130126953,-0.601806641,-0.734375,-2.01416016,18.6157227,-20.6298828
22,110000,410000,22,-1009,-4962,-5911,-55,328,-334,-0.123168945,-0.605712891,-0.721557617,-3.35693359,20.0195312,-20.3857422
23,115008,415008,23,-983,-5069,-5864,-70,347,-323,-0.119995117,-0.618774414,-0.715820312,-4.27246094,21.1791992,-19.7143555
24,120000,420000,24,-999,-5203,-5876,-70,356,-307,-0.121948242,-0.635131836,-0.717285156,-4.27246094,21.7285156,-18.737793
25,125008,425008,25,-1049,-5317,-5929,-50,353,-287,-0.128051758,-0.649047852,-0.723754883,-3.05175781,21.5454102,-17.5170898
26,130000,430000,26,-1078,-5402,-5978,-21,337,-266,-0.131591797,-0.659423828,-0.729736328,-1.28173828,20.5688477,-16.2353516
27,135008,435008,27,-1076,-5456,-5987,6,320,-245,-0.131347656,-0.666015625,-0.730834961,0.366210938,19.53125,-14.9536133
28,140000,440000,28,-1043,-5473,-5979,26,305,-226,-0.127319336,-0.66809082,-0.729858398,1.58691406,18.6157227,-13.7939453
29,145008,445008,29,-986,-5455,-5967,39,292,-211,-0.120361328,-0.665893555,-0.728393555,2.38037109,17.8222656,-12.878418
30,150000,450000,30,-935,-5404,-5945,46,284,-197,-0.114135742,-0.659667969,-0.725708008,2.80761719,17.3339844,-12.0239258
31,155008,455008,31,-893,-5336,-5921,47,283,-187,-0.109008789,-0.651367188,-0.72277832,2.86865234,17.2729492,-11.4135742
32,160000,460000,32,-869,-5254,-5922,43,283,-179,-0.106079102,-0.641357422,-0.722900391,2.62451172,17.2729492,-10.925293
33,165008,465008,33,-855,-5188,-5949,29,277,-169,-0.104370117,-0.633300781,-0.726196289,1.77001953,16.9067383,-10.3149414
34,170000,470000,34,-828,-5160,-5975,7,270,-158,-0.101074219,-0.629882812,-0.729370117,0.427246094,16.4794922,-9.64355469
35,175008,475008,35,-805,-5177,-6007,-16,264,-145,-0.0982666016,-0.631958008,-0.733276367,-0.9765625,16.1132812,-8.85009766
36,180000,480000,36,-802,-5244,-6045,-37,254,-130,-0.0979003906,-0.640136719,-0.737915039,-2.25830078,15.5029297,-7.93457031
37,185008,485008,37,-814,-5330,-6093,-54,241,-113,-0.0993652344,-0.650634766,-0.743774414,-3.29589844,14.7094727,-6.89697266
38,190000,490000,38,-833,-5407,-6148,-63,227,-98,-0.10168457,-0.66003418,-0.750488281,-3.84521484,13.8549805,-5.98144531
39,195008,495008,39,-850,-5462,-6188,-67,213,-85,-0.103759766,-0.666748047,-0.755371094,-4.08935547,13.0004883,-5.18798828
40,200000,500000,40,-859,-5492,-6206,-66,203,-73,-0.104858398,-0.670410156,-0.757568359,-4.02832031,12.3901367,-4.45556641
41,205008,505008,41,-873,-5512,-6199,-63,198,-62,-0.106567383,-0.672851562,-0.756713867,-3.84521484,12.0849609,-3.78417969
42,210000,510000,42,-898,-5538,-6190,-61,193,-53,-0.109619141,-0.676025391,-0.755615234,-3.72314453,11.7797852,-3.23486328
43,215008,515008,43,-965,-5576,-6239,-56,180,-42,-0.117797852,-0.680664062,-0.76159668,-3.41796875,10.9863281,-2.56347656
44,220000,520000,44,-1150,-5616,-6353,-49,153,-23,-0.140380859,-0.685546875,-0.775512695,-2.99072266,9.33837891,-1.40380859
45,225008,525008,45,-1462,-5641,-6533,-52,100,12,-0.178466797,-0.688598633,-0.797485352,-3.17382812,6.10351562,0.732421875
46,230000,530000,46,-1790,-5631,-6762,-63,23,49,-0.218505859,-0.68737793,-0.825439453,-3.84521484,1.40380859,2.99072266
47,235008,535008,47,-1945,-5525,-6864,-65,-45,66,-0.237426758,-0.674438477,-0.837890625,-3.96728516,-2.74658203,4.02832031
48,240000,540000,48,-1774,-5306,-6705,-68,-90,66,-0.216552734,-0.647705078,-0.818481445,-4.15039062,-5.49316406,4.02832031
49,245008,545008,49,-1318,-5094,-6386,-105,-119,69,-0.160888672,-0.621826172,-0.779541016,-6.40869141,-7.26318359,4.21142578
50,250000,550000,50,-836,-5074,-6165,-171,-128,89,-0.102050781,-0.619384766,-0.752563477,-10.4370117,-7.8125,5.43212891
51,255008,555008,51,-541,-5314,-6174,-226,-123,118,-0.0660400391,-0.648681641,-0.753662109,-13.7939453,-7.50732422,7.20214844
52,260000,560000,52,-463,-5743,-6315,-242,-125,151,-0.0565185547,-0.701049805,-0.770874023,-14.7705078,-7.62939453,9.21630859
53,265008,565008,53,-567,-6201,-6497,-213,-132,187,-0.0692138672,-0.756958008,-0.79309082,-13.0004883,-8.05664062,11.4135742
54,270000,570000,54,-770,-6521,-6659,-136,-135,216,-0.0939941406,-0.796020508,-0.812866211,-8.30078125,-8.23974609,13.1835938
55,275008,575008,55,-993,-6578,-6685,-20,-141,229,-0.12121582,-0.802978516,-0.816040039,-1.22070312,-8.60595703,13.9770508
56,280000,580000,56,-1191,-6346,-6533,101,-153,227,-0.145385742,-0.774658203,-0.797485352,6.16455078,-9.33837891,13.8549805
57,285008,585008,57,-1294,-5943,-6320,193,-172,214,-0.157958984,-0.725463867,-0.771484375,11.7797852,-10.4980469,13.0615234
58,290000,590000,58,-1273,-5530,-6165,247,-198,201,-0.155395508,-0.675048828,-0.752563477,15.0756836,-12.0849609,12.2680664
59,295008,595008,59,-1160,-5203,-6114,264,-230,196,-0.141601562,-0.635131836,-0.746337891,16.1132812,-14.0380859,11.9628906
60,300000,600000,60,-1032,-4981,-6168,254,-254,196,-0.125976562,-0.608032227,-0.752929688,15.5029297,-15.5029297,11.9628906
61,305008,605008,61,-939,-4821,-6246,228,-263,196,-0.114624023,-0.588500977,-0.762451172,13.9160156,-16.0522461,11.9628906
62,310000,610000,62,-871,-4664,-6259,192,-255,191,-0.106323242,-0.569335938,-0.764038086,11.71875,-15.5639648,11.6577148
63,315008,615008,63,-826,-4502,-6218,144,-236,181,-0.100830078,-0.549560547,-0.759033203,8.7890625,-14.4042969,11.0473633
64,320000,620000,64,-824,-4366,-6170,79,-219,172,-0.100585938,-0.532958984,-0.753173828,4.82177734,-13.3666992,10.4980469
65,325008,625008,65,-880,-4315,-6135,-1,-208,170,-0.107421875,-0.526733398,-0.748901367,-0.0610351562,-12.6953125,10.3759766
66,330000,630000,66,-970,-4390,-6106,-84,-206,179,-0.118408203,-0.535888672,-0.745361328,-5.12695312,-12.5732422,10.925293
67,335008,635008,67,-1050,-4570,-6070,-154,-218,198,-0.128173828,-0.557861328,-0.740966797,-9.39941406,-13.3056641,12.0849609
68,340000,640000,68,-1110,-4816,-6042,-203,-240,222,-0.135498047,-0.587890625,-0.737548828,-12.3901367,-14.6484375,13.5498047
69,345008,645008,69,-1160,-5084,-6024,-227,-267,251,-0.141601562,-0.620605469,-0.735351562,-13.8549805,-16.2963867,15.3198242
70,350000,650000,70,-1200,-5327,-6038,-225,-297,282,-0.146484375,-0.650268555,-0.737060547,-13.7329102,-18.1274414,17.2119141
71,355008,655008,71,-1242,-5524,-6109,-204,-333,314,-0.151611328,-0.674316406,-0.745727539,-12.4511719,-20.324707,19.1650391
72,360000,660000,72,-1295,-5650,-6192,-167,-371,344,-0.158081055,-0.689697266,-0.755859375,-10.1928711,-22.644043,20.9960938
73,365008,665008,73,-1333,-5706,-6244,-119,-406,370,-0.162719727,-0.696533203,-0.762207031,-7.26318359,-24.7802734,22.5830078
74,370000,670000,74,-1368,-5687,-6241,-71,-440,393,-0.166992188,-0.694213867,-0.76184082,-4.33349609,-26.8554688,23.9868164
75,375008,675008,75,-1421,-5611,-6222,-32,-475,412,-0.173461914,-0.684936523,-0.759521484,-1.953125,-28.9916992,25.1464844
76,380000,680000,76,-1473,-5526,-6250,-3,-514,429,-0.17980957,-0.674560547,-0.762939453,-0.183105469,-31.3720703,26.184082
77,385008,685008,77,-1521,-5423,-6288,21,-555,444,-0.185668945,-0.661987305,-0.767578125,1.28173828,-33.8745117,27.0996094
78,390000,690000,78,-1540,-5309,-6309,36,-590,453,-0.187988281,-0.648071289,-0.770141602,2.19726562,-36.0107422,27.6489258
79,395008,695008,79,-1546,-5214,-6344,40,-619,460,-0.188720703,-0.636474609,-0.774414062,2.44140625,-37.7807617,28.0761719
80,400000,700000,80,-1572,-5147,-6375,31,-648,465,-0.191894531,-0.628295898,-0.778198242,1.89208984,-39.5507812,28.3813477
81,405008,705008,81,-1581,-5120,-6395,8,-672,468,-0.192993164,-0.625,-0.780639648,0.48828125,-41.015625,28.5644531
82,410000,710000,82,-1580,-5128,-6413,-15,-689,472,-0.192871094,-0.625976562,-0.782836914,-0.915527344,-42.0532227,28.8085938
83,415008,715008,83,-1615,-5153,-6419,-33,-703,477,-0.197143555,-0.62902832,-0.783569336,-2.01416016,-42.9077148,29.1137695
84,420000,720000,84,-1661,-5196,-6444,-53,-717,479,-0.202758789,-0.634277344,-0.786621094,-3.23486328,-43.762207,29.2358398
85,425008,725008,85,-1704,-5241,-6474,-72,-733,482,-0.208007812,-0.639770508,-0.790283203,-4.39453125,-44.7387695,29.4189453
86,430000,730000,86,-1746,-5272,-6461,-86,-745,486,-0.213134766,-0.643554688,-0.788696289,-5.24902344,-45.4711914,29.6630859
87,435008,735008,87,-1776,-5298,-6457,-94,-752,491,-0.216796875,-0.646728516,-0.788208008,-5.73730469,-45.8984375,29.9682617
88,440000,740000,88,-1800,-5316,-6473,-94,-758,496,-0.219726562,-0.648925781,-0.790161133,-5.73730469,-46.2646484,30.2734375
89,445008,745008,89,-1825,-5343,-6464,-88,-765,503,-0.22277832,-0.65222168,-0.7890625,-5.37109375,-46.6918945,30.7006836
90,450000,750000,90,-1845,-5388,-6429,-80,-766,510,-0.225219727,-0.657714844,-0.784790039,-4.8828125,-46.7529297,31.1279297
91,455008,755008,91,-1892,-5438,-6360,-69,-764,518,-0.230957031,-0.663818359,-0.776367188,-4.21142578,-46.6308594,31.6162109
92,460000,760000,92,-1940,-5491,-6301,-58,-765,527,-0.236816406,-0.670288086,-0.769165039,-3.54003906,-46.6918945,32.1655273
93,465008,765008,93,-2005,-5513,-6297,-38,-775,536,-0.244750977,-0.672973633,-0.768676758,-2.31933594,-47.3022461,32.7148438
94,470000,770000,94,-2104,-5490,-6326,-11,-798,544,-0.256835938,-0.670166016,-0.772216797,-0.671386719,-48.7060547,33.203125
95,475008,775008,95,-2149,-5450,-6380,11,-831,550,-0.262329102,-0.665283203,-0.778808594,0.671386719,-50.7202148,33.5693359
96,480000,780000,96,-2172,-5390,-6404,35,-864,559,-0.265136719,-0.657958984,-0.781738281,2.13623047,-52.734375,34.1186523
