sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,30891,330891,0.49798584,0.0963745117,-0.690185547,0.516113281,0.8203125,-0.08203125,-0.67578125,-8.734375,2.671875,3.078125,0.39453125,-1.57617188,1.01757812
1,30939,330939,0.49395752,0.0881347656,-0.691650391,0.51953125,1.109375,1.03125,1.11328125,-7.609375,3.6328125,4.6171875,0.39453125,-1.57617188,1.01757812
2,30972,330972,0.490234375,0.0804443359,-0.692749023,0.522827148,1.109375,1.03125,1.11328125,-7.609375,3.6328125,4.6171875,0.349609375,-1.453125,1.04101562
3,31020,331020,0.486450195,0.073059082,-0.693603516,0.526245117,0.765625,1.53125,2.328125,-7.3828125,3.8203125,4.8203125,0.349609375,-1.453125,1.04101562
4,31052,331052,0.48248291,0.0660400391,-0.694396973,0.529785156,0.765625,1.53125,2.328125,-7.3828125,3.8203125,4.8203125,0.19140625,-1.4296875,1.05859375
5,31100,331100,0.47845459,0.0591430664,-0.695007324,0.533447266,0.46484375,1.6953125,2.578125,-7.15625,4,4.9921875,0.19140625,-1.4296875,1.05859375
6,31132,331132,0.47454834,0.0523681641,-0.695495605,0.536987305,0.46484375,1.6953125,2.578125,-7.15625,4,4.9921875,0.189453125,-1.33789062,1.06640625
7,33054,333054,0.442382812,-0.0217895508,-0.696472168,0.564575195,0.46484375,1.6953125,2.578125,-6.9296875,4.1640625,5.171875,0.189453125,-1.33789062,1.06640625
8,48715,348715,0.43927002,-0.0252075195,-0.696655273,0.566589355,0.46484375,1.6953125,2.578125,-6.9296875,4.1640625,5.171875,-0.078125,-0.8125,0.53125
9,52088,352088,0.436218262,-0.0282592773,-0.697021484,0.56842041,0.01953125,0.9921875,0.73828125,-5.640625,5.0859375,5.8359375,-0.078125,-0.8125,0.53125
