sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,32275,332275,0.781921387,-0.0913085938,-0.18145752,0.589355469,-0.05078125,-0.1640625,0.1875,-1.75,9.2265625,-2.375,0.033203125,0.037109375,0.046875
1,32323,332323,0.782104492,-0.0914306641,-0.181152344,0.589172363,0.0859375,0.16015625,-0.0546875,-1.6953125,9.25,-2.359375,0.033203125,0.037109375,0.046875
2,32356,332356,0.782409668,-0.0914916992,-0.180786133,0.588867188,0.0859375,0.16015625,-0.0546875,-1.6953125,9.25,-2.359375,0.1015625,0.041015625,0.03515625
3,32404,332404,0.782775879,-0.0916137695,-0.180480957,0.588500977,-0.12109375,-0.1015625,-0.0390625,-1.6796875,9.2421875,-2.375,0.1015625,0.041015625,0.03515625
4,32436,332436,0.78314209,-0.0917358398,-0.180175781,0.58807373,-0.12109375,-0.1015625,-0.0390625,-1.6796875,9.2421875,-2.375,0.109375,0.05859375,0.025390625
5,32483,332483,0.783508301,-0.0916748047,-0.17980957,0.58770752,-0.12890625,-0.140625,0.05859375,-1.671875,9.2421875,-2.3984375,0.109375,0.05859375,0.025390625
6,32515,332515,0.783752441,-0.0915527344,-0.179382324,0.587524414,-0.12890625,-0.140625,0.05859375,-1.671875,9.2421875,-2.3984375,0.046875,0.080078125,0.01171875
7,33974,333974,0.783630371,-0.0886230469,-0.173522949,0.58984375,-0.12890625,-0.140625,0.05859375,-1.6640625,9.2421875,-2.4140625,0.046875,0.080078125,0.01171875
8,45020,345020,0.783325195,-0.0881958008,-0.173095703,0.590454102,-0.12890625,-0.140625,0.05859375,-1.6640625,9.2421875,-2.4140625,-0.154296875,0.1328125,0.0078125
9,49980,349980,0.782958984,-0.0877075195,-0.172668457,0.591186523,-0.046875,0.03515625,0.04296875,-1.6015625,9.2578125,-2.3828125,-0.154296875,0.1328125,0.0078125
10,61363,361363,0.782592773,-0.0872192383,-0.172302246,0.59185791,-0.046875,0.03515625,0.04296875,-1.6015625,9.2578125,-2.3828125,-0.166015625,0.09375,-0.0078125
11,64921,364921,0.782226562,-0.0867919922,-0.172058105,0.592468262,-0.0546875,-0.0859375,0.01953125,-1.59375,9.265625,-2.359375,-0.166015625,0.09375,-0.0078125
12,76933,376933,0.781799316,-0.0862426758,-0.171813965,0.593139648,-0.0546875,-0.0859375,0.01953125,-1.59375,9.265625,-2.359375,-0.173828125,0.103515625,-0.021484375
13,84744,384744,0.781433105,-0.0857543945,-0.171508789,0.593811035,0.05859375,-0.09375,0.06640625,-1.59375,9.2734375,-2.328125,-0.173828125,0.103515625,-0.021484375
14,101652,401652,0.780944824,-0.0852050781,-0.171020508,0.594604492,0.05859375,-0.09375,0.06640625,-1.59375,9.2734375,-2.328125,-0.185546875,0.126953125,0.0078125
15,104636,404636,0.780517578,-0.084777832,-0.170593262,0.595397949,0.13671875,-0.1015625,-0.00390625,-1.59375,9.28125,-2.296875,-0.185546875,0.126953125,0.0078125
16,118635,418635,0.780029297,-0.0844726562,-0.170166016,0.596191406,0.13671875,-0.1015625,-0.00390625,-1.59375,9.28125,-2.296875,-0.173828125,0.0859375,0.0390625
17,124968,424968,0.779663086,-0.0842895508,-0.169799805,0.596862793,0.01171875,0.03515625,-0.07421875,-1.5859375,9.296875,-2.265625,-0.173828125,0.0859375,0.0390625
18,139288,439288,0.77935791,-0.0842285156,-0.169433594,0.597351074,0.01171875,0.03515625,-0.07421875,-1.5859375,9.296875,-2.265625,-0.10546875,0.0546875,0.076171875
19,144917,444917,0.778991699,-0.0843505859,-0.169006348,0.597900391,0.07421875,0.1796875,0.09375,-1.5703125,9.3046875,-2.2421875,-0.10546875,0.0546875,0.076171875
20,158984,458984,0.778625488,-0.0845336914,-0.168579102,0.598510742,0.07421875,0.1796875,0.09375,-1.5703125,9.3046875,-2.2421875,-0.14453125,0.033203125,0.12109375
21,164739,464739,0.778076172,-0.084777832,-0.168029785,0.599304199,0.01953125,0.36328125,0.1875,-1.5546875,9.3125,-2.21875,-0.14453125,0.033203125,0.12109375
22,181336,481336,0.77746582,-0.0850830078,-0.167419434,0.600219727,0.01953125,0.36328125,0.1875,-1.5546875,9.3125,-2.21875,-0.216796875,0.068359375,0.169921875
23,184894,484894,0.776794434,-0.0853881836,-0.166748047,0.601257324,0.06640625,0.5,0,-1.5234375,9.328125,-2.1875,-0.216796875,0.068359375,0.169921875
24,198522,498522,0.776062012,-0.0859375,-0.16595459,0.602294922,0.06640625,0.5,0,-1.5234375,9.328125,-2.1875,-0.21484375,0.04296875,0.234375
25,204849,504849,0.775390625,-0.0866699219,-0.165161133,0.60333252,0.1796875,0.33984375,0,-1.484375,9.3359375,-2.1484375,-0.21484375,0.04296875,0.234375
26,218826,518826,0.774719238,-0.0877075195,-0.164367676,0.604248047,0.1796875,0.33984375,0,-1.484375,9.3359375,-2.1484375,-0.16015625,-0.037109375,0.3125
27,225006,525006,0.774108887,-0.0891113281,-0.163635254,0.604980469,0.1171875,0.35546875,0.11328125,-1.421875,9.359375,-2.109375,-0.16015625,-0.037109375,0.3125
28,238525,538525,0.773498535,-0.0907592773,-0.162963867,0.605773926,0.1171875,0.35546875,0.11328125,-1.421875,9.359375,-2.109375,-0.14453125,-0.138671875,0.41796875
29,244947,544947,0.772644043,-0.0928344727,-0.16217041,0.606689453,0.09375,0.80078125,0.3125,-1.359375,9.375,-2.078125,-0.14453125,-0.138671875,0.41796875
30,260275,560275,0.771850586,-0.0949707031,-0.161132812,0.607666016,0.09375,0.80078125,0.3125,-1.359375,9.375,-2.078125,-0.171875,-0.064453125,0.515625
31,264388,564388,0.771118164,-0.0968017578,-0.159667969,0.608703613,0.28515625,1.0078125,-0.0234375,-1.28125,9.3984375,-2.046875,-0.171875,-0.064453125,0.515625
32,277341,577341,0.770507812,-0.0983276367,-0.157531738,0.609802246,0.28515625,1.0078125,-0.0234375,-1.28125,9.3984375,-2.046875,-0.154296875,0.212890625,0.546875
33,284493,584493,0.769958496,-0.0995483398,-0.154968262,0.610900879,0.3359375,0.68359375,-0.5078125,-1.1796875,9.4140625,-2.0234375,-0.154296875,0.212890625,0.546875
34,302143,602143,0.769470215,-0.100646973,-0.152282715,0.611999512,0.3359375,0.68359375,-0.5078125,-1.1796875,9.4140625,-2.0234375,-0.126953125,0.265625,0.5234375
35,305150,605150,0.769165039,-0.101867676,-0.149963379,0.612854004,0.06640625,0.27734375,-0.8359375,-1.0625,9.4375,-2,-0.126953125,0.265625,0.5234375
36,319530,619530,0.768981934,-0.103393555,-0.147888184,0.61328125,0.06640625,0.27734375,-0.8359375,-1.0625,9.4375,-2,0.060546875,0.08203125,0.482421875
37,324774,624774,0.769104004,-0.105163574,-0.146240234,0.613220215,-0.15234375,-0.234375,0.08203125,-0.9609375,9.453125,-2,0.060546875,0.08203125,0.482421875
38,336392,636392,0.76940918,-0.106872559,-0.145019531,0.612854004,-0.15234375,-0.234375,0.08203125,-0.9609375,9.453125,-2,0.17578125,-0.037109375,0.353515625
39,344836,644836,0.769775391,-0.108215332,-0.144042969,0.612365723,-0.23046875,-0.6953125,1.0234375,-0.8828125,9.453125,-2.0234375,0.17578125,-0.037109375,0.353515625
40,358682,658682,0.770324707,-0.109375,-0.142883301,0.611755371,-0.23046875,-0.6953125,1.0234375,-0.8828125,9.453125,-2.0234375,0.20703125,0.0625,0.236328125
41,364869,664869,0.770874023,-0.110046387,-0.141784668,0.61114502,-0.29296875,-0.8125,0.3359375,-0.8203125,9.453125,-2.0625,0.20703125,0.0625,0.236328125
42,380272,680272,0.771606445,-0.110290527,-0.140380859,0.610534668,-0.29296875,-0.8125,0.3359375,-0.8203125,9.453125,-2.0625,0.208984375,0.216796875,0.162109375
43,384394,684394,0.772277832,-0.110412598,-0.139038086,0.609924316,-0.5703125,-1.00390625,-0.19921875,-0.7734375,9.453125,-2.1015625,0.208984375,0.216796875,0.162109375
44,396915,696915,0.773254395,-0.110839844,-0.137878418,0.608947754,-0.5703125,-1.00390625,-0.19921875,-0.7734375,9.453125,-2.1015625,0.3203125,0.072265625,0.142578125
45,404288,704288,0.774047852,-0.11151123,-0.137268066,0.607910156,-0.984375,-1.72265625,-0.7265625,-0.7421875,9.4453125,-2.1484375,0.3203125,0.072265625,0.142578125
46,420284,720284,0.774841309,-0.112548828,-0.137084961,0.606811523,-0.984375,-1.72265625,-0.7265625,-0.7421875,9.4453125,-2.1484375,0.251953125,-0.146484375,0.126953125
47,424405,724405,0.775268555,-0.113708496,-0.137268066,0.605957031,-0.69921875,-1.20703125,-0.05078125,-0.71875,9.4296875,-2.2109375,0.251953125,-0.146484375,0.126953125
48,437545,737545,0.775512695,-0.114990234,-0.137634277,0.60534668,-0.69921875,-1.20703125,-0.05078125,-0.71875,9.4296875,-2.2109375,0.1171875,-0.20703125,0.123046875
49,444874,744874,0.775634766,-0.116088867,-0.137939453,0.604858398,-0.515625,-0.3203125,0.66796875,-0.7109375,9.421875,-2.2421875,0.1171875,-0.20703125,0.123046875
50,458837,758837,0.775817871,-0.117004395,-0.138122559,0.604370117,-0.515625,-0.3203125,0.66796875,-0.7109375,9.421875,-2.2421875,0.1328125,-0.119140625,0.080078125
51,464653,764653,0.776184082,-0.117553711,-0.138244629,0.603881836,-0.33984375,-0.00390625,0.33984375,-0.6953125,9.4140625,-2.2578125,0.1328125,-0.119140625,0.080078125
52,479011,779011,0.776611328,-0.117736816,-0.138244629,0.603271484,-0.33984375,-0.00390625,0.33984375,-0.6953125,9.4140625,-2.2578125,0.134765625,0.001953125,-0.02734375
53,484833,784833,0.777038574,-0.117492676,-0.138183594,0.602783203,-0.1796875,0.22265625,0.32421875,-0.703125,9.4140625,-2.28125,0.134765625,0.001953125,-0.02734375
54,500276,800276,0.77746582,-0.116943359,-0.138122559,0.602355957,-0.1796875,0.22265625,0.32421875,-0.703125,9.4140625,-2.28125,0.091796875,0.11328125,-0.115234375
55,504397,804397,0.777832031,-0.116210938,-0.137939453,0.601989746,-0.01953125,0.0390625,0.30078125,-0.7109375,9.40625,-2.296875,0.091796875,0.11328125,-0.115234375
56,518879,818879,0.778320312,-0.115478516,-0.137817383,0.6015625,-0.01953125,0.0390625,0.30078125,-0.7109375,9.40625,-2.296875,0.123046875,0.10546875,-0.115234375
57,524714,824714,0.778930664,-0.114868164,-0.137695312,0.600952148,-0.26953125,-0.44921875,-0.32421875,-0.7265625,9.3984375,-2.3203125,0.123046875,0.10546875,-0.115234375
58,538834,838834,0.779541016,-0.114318848,-0.137695312,0.600219727,-0.26953125,-0.44921875,-0.32421875,-0.7265625,9.3984375,-2.3203125,0.171875,0.044921875,-0.11328125
59,544636,844636,0.780151367,-0.114013672,-0.137878418,0.599487305,-0.33203125,-0.55078125,-0.30078125,-0.7421875,9.3828125,-2.34375,0.171875,0.044921875,-0.11328125
60,558840,858840,0.780700684,-0.113891602,-0.138244629,0.598693848,-0.33203125,-0.55078125,-0.30078125,-0.7421875,9.3828125,-2.34375,0.18359375,-0.072265625,-0.080078125
61,564667,864667,0.78125,-0.114013672,-0.13861084,0.597900391,-0.078125,-0.1953125,-0.22265625,-0.765625,9.375,-2.3828125,0.18359375,-0.072265625,-0.080078125
62,580281,880281,0.781738281,-0.114257812,-0.139038086,0.597045898,-0.078125,-0.1953125,-0.22265625,-0.765625,9.375,-2.3828125,0.189453125,-0.09375,-0.025390625
63,584403,884403,0.782287598,-0.114624023,-0.139282227,0.596252441,0.00390625,0.1640625,-0.078125,-0.7734375,9.359375,-2.4140625,0.189453125,-0.09375,-0.025390625
64,598611,898611,0.782958984,-0.11505127,-0.139343262,0.595275879,0.00390625,0.1640625,-0.078125,-0.7734375,9.359375,-2.4140625,0.244140625,-0.056640625,0.01953125
65,604423,904423,0.783630371,-0.115356445,-0.139282227,0.594299316,-0.0546875,0.86328125,0.15234375,-0.7890625,9.3515625,-2.453125,0.244140625,-0.056640625,0.01953125
