sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,31682,331682,-0.139282227,-0.924926758,0.346374512,0.0720214844,0.41015625,0.203125,-0.06640625,-1.0859375,-6.1953125,-7.0078125,-0.076171875,0.716796875,-0.607421875
1,31730,331730,-0.137756348,-0.925231934,0.345214844,0.0762329102,0.234375,0.53515625,0.1484375,0.296875,-6.21875,-7.0625,-0.076171875,0.716796875,-0.607421875
2,31763,331763,-0.136413574,-0.925537109,0.344116211,0.0797729492,0.234375,0.53515625,0.1484375,0.296875,-6.21875,-7.0625,-0.09375,0.578125,-0.509765625
3,31810,331810,-0.135192871,-0.92578125,0.343200684,0.0831298828,0.234375,0.359375,0.04296875,0.453125,-6.1953125,-7.0703125,-0.09375,0.578125,-0.509765625
4,31842,331842,-0.134094238,-0.925842285,0.342590332,0.0864868164,0.234375,0.359375,0.04296875,0.453125,-6.1953125,-7.0703125,0.033203125,0.54296875,-0.400390625
5,31890,331890,-0.133239746,-0.92578125,0.342285156,0.0895996094,0.140625,-0.453125,-0.50390625,0.5859375,-6.1875,-7.0625,0.033203125,0.54296875,-0.400390625
6,31922,331922,-0.132568359,-0.925720215,0.341918945,0.0925292969,0.140625,-0.453125,-0.50390625,0.5859375,-6.1875,-7.0625,0.025390625,0.50390625,-0.330078125
7,39651,339651,-0.132080078,-0.925476074,0.339172363,0.105041504,0.140625,-0.453125,-0.50390625,0.7109375,-6.1875,-7.046875,0.212890625,-0.357421875,0.224609375
8,52690,352690,-0.132080078,-0.925537109,0.339355469,0.10369873,0.140625,-0.453125,-0.50390625,0.7109375,-6.1875,-7.046875,-0.0625,-0.189453125,0.083984375
9,59221,359221,-0.132385254,-0.92565918,0.339233398,0.102905273,0.5703125,0.94921875,-1.24609375,0.921875,-6.171875,-7.046875,-0.0625,-0.189453125,0.083984375
10,68347,368347,-0.133056641,-0.925598145,0.339111328,0.102600098,0.5703125,0.94921875,-1.24609375,0.921875,-6.171875,-7.046875,-0.009765625,0.01953125,0.142578125
11,75384,375384,-0.133728027,-0.925537109,0.339294434,0.102233887,0.09375,-0.39453125,0.6015625,0.8984375,-6.171875,-7.0546875,-0.009765625,0.01953125,0.142578125
12,87642,387642,-0.134460449,-0.925354004,0.339538574,0.101623535,0.09375,-0.39453125,0.6015625,0.8984375,-6.171875,-7.0546875,0.03515625,-0.091796875,0.20703125
13,97881,397881,-0.135375977,-0.925231934,0.339782715,0.100585938,0.2421875,0.49609375,1.17578125,0.8671875,-6.1796875,-7.0546875,0.03515625,-0.091796875,0.20703125
14,108636,408636,-0.136413574,-0.925231934,0.33984375,0.0989379883,0.2421875,0.49609375,1.17578125,0.8671875,-6.1796875,-7.0546875,-0.091796875,-0.314453125,0.34375
15,114992,414992,-0.137573242,-0.925415039,0.339660645,0.0962524414,0.140625,0.765625,1.296875,0.8125,-6.1796875,-7.0625,-0.091796875,-0.314453125,0.34375
16,128483,428483,-0.138671875,-0.92578125,0.339233398,0.0926513672,0.140625,0.765625,1.296875,0.8125,-6.1796875,-7.0625,-0.271484375,-0.65234375,0.46875
17,136869,436869,-0.139953613,-0.926208496,0.338623047,0.0884399414,0.19140625,0.86328125,0.40234375,0.6875,-6.1640625,-7.0859375,-0.271484375,-0.65234375,0.46875
18,146957,446957,-0.141479492,-0.926635742,0.338012695,0.083984375,0.19140625,0.86328125,0.40234375,0.6875,-6.1640625,-7.0859375,-0.29296875,-0.728515625,0.587890625
19,154389,454389,-0.143188477,-0.926940918,0.337585449,0.0793457031,0.15625,0.36328125,0.2578125,0.53125,-6.125,-7.1328125,-0.29296875,-0.728515625,0.587890625
20,168032,468032,-0.145385742,-0.927124023,0.337280273,0.0740356445,0.15625,0.36328125,0.2578125,0.53125,-6.125,-7.1328125,-0.224609375,-0.837890625,0.779296875
21,176857,476857,-0.147827148,-0.927246094,0.337219238,0.068359375,-0.21484375,-0.1640625,0.1796875,0.328125,-6.09375,-7.171875,-0.224609375,-0.837890625,0.779296875
22,188367,488367,-0.150268555,-0.927307129,0.337219238,0.0620727539,-0.21484375,-0.1640625,0.1796875,0.328125,-6.09375,-7.171875,-0.220703125,-1.08984375,0.943359375
23,193996,493996,-0.153015137,-0.927246094,0.337341309,0.0546264648,-0.328125,-0.04296875,-0.09375,0.09375,-6.0625,-7.203125,-0.220703125,-1.08984375,0.943359375
24,207571,507571,-0.155639648,-0.927185059,0.337524414,0.0463256836,-0.328125,-0.04296875,-0.09375,0.09375,-6.0625,-7.203125,-0.248046875,-1.44726562,1.09375
25,214475,514475,-0.15838623,-0.927001953,0.33795166,0.0372314453,-0.16796875,-0.1875,-0.5625,-0.21875,-6.03125,-7.234375,-0.248046875,-1.44726562,1.09375
26,227096,527096,-0.161010742,-0.926635742,0.338562012,0.0281982422,-0.16796875,-0.1875,-0.5625,-0.21875,-6.03125,-7.234375,-0.1484375,-1.67773438,1.1953125
27,233287,533287,-0.163818359,-0.926086426,0.339416504,0.0173950195,-0.3125,-0.37890625,-1.01171875,-0.5703125,-5.9921875,-7.2421875,-0.1484375,-1.67773438,1.1953125
28,246865,546865,-0.166442871,-0.925415039,0.340332031,0.00640869141,-0.3125,-0.37890625,-1.01171875,-0.5703125,-5.9921875,-7.2421875,-0.126953125,-1.91015625,1.26757812
