sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,250,-5666,-7507,191,-336,205,0.0305175781,-0.691650391,-0.916381836,11.6577148,-20.5078125,12.512207
1,5008,305008,1,329,-4919,-7559,129,-324,149,0.0401611328,-0.600463867,-0.922729492,7.87353516,-19.7753906,9.09423828
2,10000,310000,2,558,-4449,-7530,36,-291,103,0.0681152344,-0.54309082,-0.919189453,2.19726562,-17.7612305,6.28662109
3,15008,315008,3,845,-4383,-7369,-30,-237,81,0.103149414,-0.53503418,-0.899536133,-1.83105469,-14.465332,4.94384766
4,20000,320000,4,1073,-4689,-6987,-52,-176,85,0.130981445,-0.572387695,-0.852905273,-3.17382812,-10.7421875,5.18798828
5,25008,325008,5,1182,-5197,-6434,-53,-108,101,0.144287109,-0.634399414,-0.785400391,-3.23486328,-6.59179688,6.16455078
6,30000,330000,6,1146,-5644,-5947,-48,-37,115,0.139892578,-0.688964844,-0.725952148,-2.9296875,-2.25830078,7.01904297
7,35008,335008,7,968,-5829,-5674,-33,8,126,0.118164062,-0.711547852,-0.692626953,-2.01416016,0.48828125,7.69042969
8,40000,340000,8,741,-5733,-5568,-11,13,137,0.0904541016,-0.699829102,-0.6796875,-0.671386719,0.793457031,8.36181641
9,45008,345008,9,584,-5481,-5527,10,-12,147,0.0712890625,-0.669067383,-0.674682617,0.610351562,-0.732421875,8.97216797
10,50000,350000,10,561,-5211,-5443,22,-47,158,0.0684814453,-0.636108398,-0.664428711,1.34277344,-2.86865234,9.64355469
11,55008,355008,11,632,-4997,-5267,27,-72,174,0.0771484375,-0.609985352,-0.642944336,1.64794922,-4.39453125,10.6201172
12,60000,360000,12,730,-4853,-5012,26,-87,198,0.0891113281,-0.592407227,-0.611816406,1.58691406,-5.31005859,12.0849609
13,65008,365008,13,793,-4776,-4753,12,-104,227,0.0968017578,-0.583007812,-0.580200195,0.732421875,-6.34765625,13.8549805
14,70000,370000,14,778,-4738,-4603,-15,-141,259,0.0949707031,-0.578369141,-0.561889648,-0.915527344,-8.60595703,15.8081055
15,75008,375008,15,720,-4712,-4612,-48,-208,290,0.087890625,-0.575195312,-0.562988281,-2.9296875,-12.6953125,17.7001953
16,80000,380000,16,649,-4689,-4763,-85,-295,323,0.0792236328,-0.572387695,-0.581420898,-5.18798828,-18.0053711,19.7143555
17,85008,385008,17,587,-4653,-5002,-126,-387,353,0.0716552734,-0.567993164,-0.610595703,-7.69042969,-23.6206055,21.5454102
18,90000,390000,18,564,-4618,-5274,-172,-475,382,0.0688476562,-0.563720703,-0.643798828,-10.4980469,-28.9916992,23.3154297
19,95008,395008,19,557,-4588,-5531,-216,-550,411,0.0679931641,-0.560058594,-0.675170898,-13.1835938,-33.5693359,25.0854492
20,100000,400000,20,563,-4570,-5741,-250,-607,438,0.0687255859,-0.557861328,-0.700805664,-15.2587891,-37.0483398,26.7333984
21,105008,405008,21,570,-4595,-5874,-268,-647,465,0.0695800781,-0.560913086,-0.717041016,-16.3574219,-39.4897461,28.3813477
22,110000,410000,22,550,-4661,-5918,-276,-670,492,0.0671386719,-0.568969727,-0.722412109,-16.8457031,-40.8935547,30.0292969
23,115008,415008,23,502,-4737,-5914,-275,-680,518,0.0612792969,-0.57824707,-0.721923828,-16.784668,-41.5039062,31.6162109
24,120000,420000,24,420,-4851,-5907,-270,-685,549,0.0512695312,-0.592163086,-0.721069336,-16.4794922,-41.809082,33.5083008
25,125008,425008,25,309,-5017,-5908,-258,-696,589,0.0377197266,-0.612426758,-0.721191406,-15.7470703,-42.4804688,35.949707
26,130000,430000,26,166,-5180,-5920,-236,-716,636,0.0202636719,-0.632324219,-0.72265625,-14.4042969,-43.7011719,38.8183594
27,135008,435008,27,4,-5303,-5957,-215,-746,685,0.00048828125,-0.647338867,-0.727172852,-13.1225586,-45.5322266,41.809082
28,140000,440000,28,-137,-5387,-6024,-209,-787,727,-0.0167236328,-0.657592773,-0.735351562,-12.7563477,-48.034668,44.3725586
29,145008,445008,29,-243,-5423,-6121,-213,-832,766,-0.0296630859,-0.661987305,-0.747192383,-13.0004883,-50.78125,46.7529297
30,150000,450000,30,-304,-5407,-6196,-210,-878,802,-0.037109375,-0.66003418,-0.756347656,-12.8173828,-53.5888672,48.9501953
31,155008,455008,31,-335,-5342,-6202,-202,-935,838,-0.0408935547,-0.652099609,-0.757080078,-12.3291016,-57.0678711,51.1474609
32,160000,460000,32,-370,-5273,-6182,-200,-1013,879,-0.0451660156,-0.643676758,-0.754638672,-12.2070312,-61.8286133,53.6499023
33,165008,465008,33,-452,-5242,-6241,-207,-1100,924,-0.0551757812,-0.639892578,-0.76184082,-12.6342773,-67.1386719,56.3964844
34,170000,470000,34,-550,-5252,-6390,-218,-1193,961,-0.0671386719,-0.641113281,-0.780029297,-13.3056641,-72.8149414,58.6547852
35,175008,475008,35,-576,-5317,-6530,-226,-1285,992,-0.0703125,-0.649047852,-0.797119141,-13.7939453,-78.4301758,60.546875
36,180000,480000,36,-545,-5375,-6650,-231,-1355,1024,-0.0665283203,-0.65612793,-0.811767578,-14.0991211,-82.7026367,62.5
37,185008,485008,37,-565,-5421,-6721,-221,-1398,1050,-0.0689697266,-0.661743164,-0.82043457,-13.4887695,-85.3271484,64.0869141
38,190000,490000,38,-636,-5477,-6774,-187,-1430,1070,-0.0776367188,-0.668579102,-0.826904297,-11.4135742,-87.2802734,65.3076172
