sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-1136,7752,-1713,-26,25,-7,-0.138671875,0.946289062,-0.209106445,-1.58691406,1.52587891,-0.427246094
1,5008,305008,1,-1153,7711,-1677,7,24,-13,-0.14074707,0.94128418,-0.204711914,0.427246094,1.46484375,-0.793457031
2,10000,310000,2,-1150,7695,-1632,31,24,-15,-0.140380859,0.939331055,-0.19921875,1.89208984,1.46484375,-0.915527344
3,15008,315008,3,-1140,7715,-1601,42,25,-12,-0.139160156,0.941772461,-0.19543457,2.56347656,1.52587891,-0.732421875
4,20000,320000,4,-1152,7757,-1592,44,26,-7,-0.140625,0.946899414,-0.194335938,2.68554688,1.58691406,-0.427246094
5,25008,325008,5,-1169,7828,-1585,37,26,1,-0.142700195,0.955566406,-0.193481445,2.25830078,1.58691406,0.0610351562
6,30000,330000,6,-1173,7908,-1583,20,22,8,-0.143188477,0.965332031,-0.193237305,1.22070312,1.34277344,0.48828125
7,35008,335008,7,-1170,7965,-1589,-5,20,11,-0.142822266,0.972290039,-0.193969727,-0.305175781,1.22070312,0.671386719
8,40000,340000,8,-1178,7973,-1596,-23,24,12,-0.143798828,0.973266602,-0.194824219,-1.40380859,1.46484375,0.732421875
9,45008,345008,9,-1191,7947,-1603,-26,28,13,-0.145385742,0.970092773,-0.195678711,-1.58691406,1.70898438,0.793457031
10,50000,350000,10,-1210,7910,-1608,-14,27,14,-0.147705078,0.965576172,-0.196289062,-0.854492188,1.64794922,0.854492188
11,55008,355008,11,-1233,7879,-1606,13,26,14,-0.150512695,0.961791992,-0.196044922,0.793457031,1.58691406,0.854492188
12,60000,360000,12,-1240,7868,-1588,50,26,13,-0.151367188,0.960449219,-0.193847656,3.05175781,1.58691406,0.793457031
13,65008,365008,13,-1240,7850,-1557,87,26,10,-0.151367188,0.958251953,-0.190063477,5.31005859,1.58691406,0.610351562
14,70000,370000,14,-1242,7827,-1506,118,26,7,-0.151611328,0.955444336,-0.183837891,7.20214844,1.58691406,0.427246094
15,75008,375008,15,-1250,7822,-1458,141,27,5,-0.152587891,0.954833984,-0.177978516,8.60595703,1.64794922,0.305175781
16,80000,380000,16,-1253,7830,-1415,152,28,6,-0.152954102,0.955810547,-0.172729492,9.27734375,1.70898438,0.366210938
17,85008,385008,17,-1244,7863,-1362,149,26,9,-0.151855469,0.959838867,-0.166259766,9.09423828,1.58691406,0.549316406
18,90000,390000,18,-1233,7915,-1330,135,22,13,-0.150512695,0.966186523,-0.162353516,8.23974609,1.34277344,0.793457031
19,95008,395008,19,-1219,7969,-1312,113,15,19,-0.148803711,0.97277832,-0.16015625,6.89697266,0.915527344,1.15966797
20,100000,400000,20,-1202,8026,-1298,87,7,27,-0.146728516,0.979736328,-0.158447266,5.31005859,0.427246094,1.64794922
21,105008,405008,21,-1194,8082,-1300,59,-1,38,-0.145751953,0.986572266,-0.158691406,3.60107422,-0.0610351562,2.31933594
22,110000,410000,22,-1174,8151,-1302,32,-10,48,-0.143310547,0.994995117,-0.158935547,1.953125,-0.610351562,2.9296875
23,115008,415008,23,-1124,8234,-1303,1,-19,57,-0.137207031,1.00512695,-0.159057617,0.0610351562,-1.15966797,3.47900391
24,120000,420000,24,-1059,8291,-1312,-33,-24,66,-0.129272461,1.01208496,-0.16015625,-2.01416016,-1.46484375,4.02832031
25,125008,425008,25,-1003,8297,-1329,-63,-23,72,-0.122436523,1.01281738,-0.162231445,-3.84521484,-1.40380859,4.39453125
26,130000,430000,26,-983,8254,-1357,-83,-17,75,-0.119995117,1.00756836,-0.165649414,-5.06591797,-1.03759766,4.57763672
27,135008,435008,27,-983,8189,-1392,-90,-11,76,-0.119995117,0.999633789,-0.169921875,-5.49316406,-0.671386719,4.63867188
28,140000,440000,28,-987,8129,-1419,-87,-4,76,-0.120483398,0.99230957,-0.173217773,-5.31005859,-0.244140625,4.63867188
29,145008,445008,29,-984,8074,-1449,-81,2,74,-0.120117188,0.985595703,-0.176879883,-4.94384766,0.122070312,4.51660156
30,150000,450000,30,-982,8028,-1471,-70,7,71,-0.119873047,0.979980469,-0.17956543,-4.27246094,0.427246094,4.33349609
